Maths,DSGT,DS,DLCOA,CG
5/Lecture-style teaching,5/Lecture-style teaching,5/Lecture-style teaching,5/Lecture-style teaching,5/Lecture-style teaching
5/Lecture-style teaching,5/Lecture-style teaching,5/Lecture-style teaching,5/Lecture-style teaching,5/Lecture-style teaching
2/Interactive discussions,5/Lecture-style teaching,4/Group projects and collaboration,4/Visual aids and multimedia,5/Lecture-style teaching
2/Visual aids and multimedia,4/Visual aids and multimedia,3/Interactive discussions,4/Lecture-style teaching,5/Lecture-style teaching
2/Visual aids and multimedia,2/Visual aids and multimedia,2/Visual aids and multimedia,2/Visual aids and multimedia,2/Visual aids and multimedia
4/Lecture-style teaching,3/Group projects and collaboration,3/Interactive discussions,3/Group projects and collaboration,2/Group projects and collaboration
